id_ubicacion,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad
71,2,Baja California,2,Mexicali,1388,Las Margaritas (Colonia Colorado Tres)                                                                        
72,2,Baja California,3,Tecate,107,La Rumorosa                                                                                                   
73,2,Baja California,2,Mexicali,2887,Calizas [Industrias]                                                                                          
74,2,Baja California,7,San Felipe                                                                  ,175,Mineral Real de Ángeles                                                                                       
75,2,Baja California,4,Tijuana,1359,Guerra [Taller]                                                                                               
76,2,Baja California,6,San Quintín,841,Sara [Mina]                                                                                                   
77,2,Baja California,4,Tijuana,2102,La Hermosa                                                                                                    
78,2,Baja California,4,Tijuana,1060,Valle Bonito                                                                                                  
79,2,Baja California,7,San Felipe                                                                  ,60,Crucero Valle de la Trinidad (El Oasis)                                                                       
80,2,Baja California,2,Mexicali,1677,Nejimex (Ganadera)                                                                                            
81,2,Baja California,6,San Quintín,224,El Rosario de Abajo                                                                                           
82,2,Baja California,6,San Quintín,81,Colonia Llamas                                                                                                
83,2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito                                                                                            
84,2,Baja California,2,Mexicali,159,Delta (Estación Delta)                                                                                        
85,2,Baja California,2,Mexicali,2473,Familia Núñez (Colonia Progreso)                                                                              
86,2,Baja California,1,Ensenada,114,Francisco Zarco (Valle de Guadalupe)                                                                          
87,2,Baja California,4,Tijuana,1875,La Joya                                                                                                       
88,2,Baja California,4,Tijuana,1883,Villa del Campo                                                                                               
89,2,Baja California,4,Tijuana,606,San Antonio del Mar                                                                                           
90,2,Baja California,2,Mexicali,2507,Familia Pantoja (Colonia Centinela)                                                                           
91,2,Baja California,2,Mexicali,456,Benito Juárez (Ejido Tecolotes)                                                                               
92,2,Baja California,2,Mexicali,225,Michoacán de Ocampo                                                                                           
93,2,Baja California,3,Tecate,340,Nueva Colonia Hindú                                                                                           
94,2,Baja California,2,Mexicali,3616,Martín Ortíz                                                                                                  
95,2,Baja California,2,Mexicali,2836,Familia Mendoza (Colonia Progreso)                                                                            
96,2,Baja California,3,Tecate,1969,Casa para Pobres Desamparados                                                                                 
97,2,Baja California,1,Ensenada,5122,Lindavista                                                                                                    
98,2,Baja California,2,Mexicali,459,Poblado Paredones                                                                                             
99,2,Baja California,2,Mexicali,111,Vicente Guerrero (Algodones)                                                                                  
100,2,Baja California,2,Mexicali,206,Ejido Jiquilpan                                                                                               
101,2,Baja California,2,Mexicali,362,Ejido el Marítimo                                                                                             
102,2,Baja California,2,Mexicali,514,Ejido Tula                                                                                                    
103,2,Baja California,2,Mexicali,358,Poblado Alfredo V. Bonfil                                                                                     
104,2,Baja California,2,Mexicali,4852,Familia Sánchez                                                                                               
105,2,Baja California,2,Mexicali,266,Colonia la Puerta                                                                                             
106,2,Baja California,2,Mexicali,3602,Las Palmas [Rancho]                                                                                           
107,2,Baja California,2,Mexicali,3660,Rivas [Rancho]
108,2,Baja California,2,Mexicali,510,Ejido Hipólito Rentería                                                                                       
109,2,Baja California,2,Mexicali,1239,Emiliano Zapata (Colonia Progreso)                                                                            
110,2,Baja California,2,Mexicali,1564,Compuerta la 24 (Colonia Silva)                                                                               
111,2,Baja California,4,Tijuana,575,El Mezquitito                                                                                                 
112,2,Baja California,2,Mexicali,2893,Kilómetro Siete Punto Cinco (Colonia Colorado Uno)                                                            
113,2,Baja California,2,Mexicali,176,El Faro                                                                                                       
114,2,Baja California,7,San Felipe                                                                  ,69,Ejido Plan Nacional Agrario                                                                                   
